"REGION";"CD_REF";"PR";"PR_det";"LRR";"LRR_det";"LRR_H";"LRR_H_det";"LRR_P";"LRR_P_det";"PD";"PD_det";"ZNIEFF";"ZNIEFF_det"
"Alsace";"4172";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4187";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4198";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4212";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4215";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4269";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4327";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4460";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4510";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4568";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4576";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4597";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4659";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4663";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4686";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"8089";NA;NA;"DD";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"9562";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"10502";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"10530";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"10979";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"12336";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"17783";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"18432";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"18437";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"18874";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23121";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23130";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23132";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23177";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23181";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23185";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23186";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23187";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23203";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23212";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23226";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
