"Groupe";"Nom";"CD_REF";"LB_NOM";"NOM_COMPL";"NOM_VERN";"CLASSE";"ORDRE";"FAMILLE";"PN";"PN_det";"LRN";"LRN_det";"LRN_H";"LRN_H_det";"LRN_P";"LRN_P_det";"DH";"DH_det";"DO";"DO_det";"ZH"
"Fonge";"Absconditella delutula";"56238";"Absconditella delutula";"Absconditella delutula (Nyl.) Coppins & H.Kilias, 1980";NA;"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Absconditella fossarum";"660447";"Absconditella fossarum";"Absconditella fossarum Vězda & Pišút, 1985";NA;"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Absconditella lignicola";"660446";"Absconditella lignicola";"Absconditella lignicola Vězda & Pišút, 1985";NA;"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Absconditella pauxilla";"56243";"Absconditella pauxilla";"Absconditella pauxilla Vězda & Vivant, 1975";NA;"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Absconditella sphagnorum";"45276";"Absconditella sphagnorum";"Absconditella sphagnorum Vězda & Poelt, 1965";NA;"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Absconditella sychnogonoides";"1042676";"Absconditella sychnogonoides";"Absconditella sychnogonoides (Nitschke) Suija & van den Boom, 2023";NA;"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Absconditella trivialis";"56241";"Absconditella trivialis";"Absconditella trivialis (Willey ex Tuck.) Vězda, 1965";NA;"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Absidia";"984375";"Absidia";"Absidia Tiegh., 1878";NA;"Mucoromycetes";"Mucorales";"Cunninghamellaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Absidia caerulea";"1003064";"Absidia caerulea";"Absidia caerulea Bainier, 1889";NA;"Mucoromycetes";"Mucorales";"Cunninghamellaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthobasidium";"188692";"Acanthobasidium";"Acanthobasidium Oberw., 1966";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
