"HAB";"TYPO";"CD_LB";"CD";"LB";"NIVEAU"
"31455";"28";"F62a-05 Salicetum atrocinereo-cinereae";"F62a-05";"Salicetum atrocinereo-cinereae";"8"
"31458";"28";"F62a-06 Salicetum triandrae";"F62a-06";"Salicetum triandrae";"8"
"31459";"28";"F62a-07 Calystegio sepium-Salicetum triandrae";"F62a-07";"Calystegio sepium-Salicetum triandrae";"8"
"31462";"28";"F62a-10 Salicetum purpureae";"F62a-10";"Salicetum purpureae";"8"
"31465";"28";"F62a-12 Salicetum incano-purpureae";"F62a-12";"Salicetum incano-purpureae";"8"
"31467";"28";"F62a-14 Myricarietum germanicae";"F62a-14";"Myricarietum germanicae";"8"
"31468";"28";"F62a-15 Salici incanae-Hippophaetum fluviatilis";"F62a-15";"Salici incanae-Hippophaetum fluviatilis";"8"
"31477";"28";"F62a-16 Salicetum myrsinifolio-purpureae";"F62a-16";"Salicetum myrsinifolio-purpureae";"8"
"31478";"28";"F62a-17 Saponario officinalis-Salicetum purpureae";"F62a-17";"Saponario officinalis-Salicetum purpureae";"8"
"31479";"28";"F62a-18 Salicetum lambertiano-angustifoliae";"F62a-18";"Salicetum lambertiano-angustifoliae";"8"
"31481";"28";"F62a-19 Dittrichio viscosae-Salicetum purpureae";"F62a-19";"Dittrichio viscosae-Salicetum purpureae";"8"
"31483";"28";"F62a-20 Tamarici gallicae-Salicetum elaeagni";"F62a-20";"Tamarici gallicae-Salicetum elaeagni";"8"
"31488";"28";"F62b-02 Salici triandrae-Populetum betulifoliae";"F62b-02";"Salici triandrae-Populetum betulifoliae";"8"
"31489";"28";"F62b-03 Salici albae-Populetum nigrae";"F62b-03";"Salici albae-Populetum nigrae";"8"
"31491";"28";"F62b-04 Rubo caesii-Populetum nigrae";"F62b-04";"Rubo caesii-Populetum nigrae";"8"
"31492";"28";"F62b-05 Deschampsio cespitosae-Aceretum negundo";"F62b-05";"Deschampsio cespitosae-Aceretum negundo";"8"
"31493";"28";"F62b-06 Salicetum albae";"F62b-06";"Salicetum albae";"8"
"31494";"28";"F62b-07 Ligustro vulgaris-Populetum nigrae";"F62b-07";"Ligustro vulgaris-Populetum nigrae";"8"
"31496";"28";"F62b-08 Alno incanae-Salicetum albae";"F62b-08";"Alno incanae-Salicetum albae";"8"
"31498";"28";"F62b-09 Phalarido arundinaceae-Populetum nigrae";"F62b-09";"Phalarido arundinaceae-Populetum nigrae";"8"
"31499";"28";"F62b-10 Brachypodio phoenicoidis-Populetum nigrae";"F62b-10";"Brachypodio phoenicoidis-Populetum nigrae";"8"
"31500";"28";"F62b-11 Corylo avellanae-Populetum nigrae";"F62b-11";"Corylo avellanae-Populetum nigrae";"8"
"31501";"28";"F62b-12 Rubio peregrinae-Populetum albae";"F62b-12";"Rubio peregrinae-Populetum albae";"8"
"31502";"28";"F62b-13 Salici albae-Populetum albae";"F62b-13";"Salici albae-Populetum albae";"8"
"30850";"28";"F65-01 Hyperico linariifolii-Sedetum reflexi";"F65-01";"Hyperico linariifolii-Sedetum reflexi";"8"
"30849";"28";"F65-02 Hyperico linariifolii-Sedetum anglici";"F65-02";"Hyperico linariifolii-Sedetum anglici";"8"
"31081";"28";"F65-03 Scillo autumnalis-Ranunculetum paludosi";"F65-03";"Scillo autumnalis-Ranunculetum paludosi";"8"
"30897";"28";"F65-04 Plantagini holostei-Sesamoidetum purpurascentis";"F65-04";"Plantagini holostei-Sesamoidetum purpurascentis";"8"
"30699";"28";"F65-05 Festuco trachyphyllae-Sedetum anglici";"F65-05";"Festuco trachyphyllae-Sedetum anglici";"8"
"30698";"28";"F65-06 Festuco tenuifoliae-Sedetum anglici";"F65-06";"Festuco tenuifoliae-Sedetum anglici";"8"
"31102";"28";"F65-07 Sedo anglici-Scilletum vernae";"F65-07";"Sedo anglici-Scilletum vernae";"8"
"30703";"28";"F65-08 Dactylido marinae-Sedetum anglici";"F65-08";"Dactylido marinae-Sedetum anglici";"8"
"31230";"28";"F65-09 Tuberario maritimae-Romuleetum columnae";"F65-09";"Tuberario maritimae-Romuleetum columnae";"8"
"31121";"28";"F65-10 Spergulo morisonii-Sedetum hirsuti";"F65-10";"Spergulo morisonii-Sedetum hirsuti";"8"
"31090";"28";"F65-11 Sedetum acro-micranthi";"F65-11";"Sedetum acro-micranthi";"8"
"30632";"28";"F65-12 Agrostio durieui-Sedetum pyrenaici";"F65-12";"Agrostio durieui-Sedetum pyrenaici";"8"
"31103";"28";"F65-13 Sedo pyrenaici-Sempervivetum montani";"F65-13";"Sedo pyrenaici-Sempervivetum montani";"8"
"31117";"28";"F65-14 Sileno rupestris-Sedetum pyrenaici";"F65-14";"Sileno rupestris-Sedetum pyrenaici";"8"
"31130";"28";"F65-15 Veronicetum cantabricae";"F65-15";"Veronicetum cantabricae";"8"
"31107";"28";"F65-16 Sempervivo tectorum-Sedetum rupestris";"F65-16";"Sempervivo tectorum-Sedetum rupestris";"8"
"31224";"28";"F65-17 Trifolio scabri-Thymetum caroli";"F65-17";"Trifolio scabri-Thymetum caroli";"8"
"30788";"28";"F65-18 Gageo saxatilis-Veronicetum dillenii";"F65-18";"Gageo saxatilis-Veronicetum dillenii";"8"
"31082";"28";"F65-19 Scillo autumnalis-Sedetum albi";"F65-19";"Scillo autumnalis-Sedetum albi";"8"
"31122";"28";"F65-20 Spergulo pentandrae-Veronicetum dillenii";"F65-20";"Spergulo pentandrae-Veronicetum dillenii";"8"
"31079";"28";"F65-21 Saxifrago tridactylitae-Potentilletum neglectae";"F65-21";"Saxifrago tridactylitae-Potentilletum neglectae";"8"
"31229";"28";"F65-22 Tuberario guttatae-Thymetum drucei";"F65-22";"Tuberario guttatae-Thymetum drucei";"8"
"31004";"28";"F65-23 Petrorhagio proliferae-Festucetum lemanii";"F65-23";"Petrorhagio proliferae-Festucetum lemanii";"8"
"31104";"28";"F65-24 Sedo rubentis-Scleranthetum perennis";"F65-24";"Sedo rubentis-Scleranthetum perennis";"8"
"31037";"28";"F65-25 Syntrichio ruralis-Sedetum micranthi";"F65-25";"Syntrichio ruralis-Sedetum micranthi";"8"
"31105";"28";"F65-26 Sedo rupestris-Hieracietum pilosellae";"F65-26";"Sedo rupestris-Hieracietum pilosellae";"8"
"31106";"28";"F65-27 Sempervivo arvernensis-Festucetum arvernensis";"F65-27";"Sempervivo arvernensis-Festucetum arvernensis";"8"
"30650";"28";"F65-28 Anarrhino bellidifolii-Sedetum maximi";"F65-28";"Anarrhino bellidifolii-Sedetum maximi";"8"
"31116";"28";"F65-29 Sileno rupestris-Sedetum annui";"F65-29";"Sileno rupestris-Sedetum annui";"8"
"31101";"28";"F65-30 Sedo alpestris-Silenetum rupestris";"F65-30";"Sedo alpestris-Silenetum rupestris";"8"
"30905";"28";"F65-31 Polytricho piliferi-Allietum montani";"F65-31";"Polytricho piliferi-Allietum montani";"8"
"31088";"28";"F65-32 Sclerantho biennis-Sempervivetum arachnoidei";"F65-32";"Sclerantho biennis-Sempervivetum arachnoidei";"8"
"30909";"28";"F65-34 Poo perconcinnae-Sedetum montani";"F65-34";"Poo perconcinnae-Sedetum montani";"8"
"31211";"28";"F65-35 Tortello inclinatae-Poetum concinnae";"F65-35";"Tortello inclinatae-Poetum concinnae";"8"
"30900";"28";"F65-37 Poetum badensis";"F65-37";"Poetum badensis";"8"
"30908";"28";"F65-38 Poo badensis-Allietum montani";"F65-38";"Poo badensis-Allietum montani";"8"
"31096";"28";"F65-39 Sedo acris-Poetum alpinae";"F65-39";"Sedo acris-Poetum alpinae";"8"
"30771";"28";"F65-40 Cerastietum pumili";"F65-40";"Cerastietum pumili";"8"
"31003";"28";"F65-41 Peltigero rufescentis-Allietum sphaerocephali";"F65-41";"Peltigero rufescentis-Allietum sphaerocephali";"8"
"30692";"28";"F65-42 Festuco auquieri-Sedetum ochroleuci";"F65-42";"Festuco auquieri-Sedetum ochroleuci";"8"
"30985";"28";"F65-43 Medicaginetum minimo-rigidulae";"F65-43";"Medicaginetum minimo-rigidulae";"8"
"30994";"28";"F65-44 Minuartietum mutabilis";"F65-44";"Minuartietum mutabilis";"8"
"30646";"28";"F65-45 Alysso montani-Sedetum albi";"F65-45";"Alysso montani-Sedetum albi";"8"
"30845";"28";"F65-46 Hornungio petraeae-Cerastietum semidecandri";"F65-46";"Hornungio petraeae-Cerastietum semidecandri";"8"
"30644";"28";"F65-47 Alysso alyssoidis-Sedetum albi";"F65-47";"Alysso alyssoidis-Sedetum albi";"8"
"30696";"28";"F65-48 Festuco longifoliae-Sedetum albi";"F65-48";"Festuco longifoliae-Sedetum albi";"8"
"31078";"28";"F65-49 Saxifrago tridactylitae-Poetum compressae";"F65-49";"Saxifrago tridactylitae-Poetum compressae";"8"
"30838";"28";"F65-50 Hieracio pilosellae-Poetum compressae";"F65-50";"Hieracio pilosellae-Poetum compressae";"8"
"30912";"28";"F65-51 Potentilletum argenteo-vernae";"F65-51";"Potentilletum argenteo-vernae";"8"
"31091";"28";"F65-52 Sedetum micrantho-sediformis";"F65-52";"Sedetum micrantho-sediformis";"8"
"31092";"28";"F65-53 Sedetum ochroleuco-sediformis";"F65-53";"Sedetum ochroleuco-sediformis";"8"
"24455";"28";"F65b-01 Simethido mattiazzii-Serapiadetum linguae";"F65b-01";"Simethido mattiazzii-Serapiadetum linguae";"8"
"24456";"28";"F66-01 Echio lycopsis-Galactitetum tomentosae";"F66-01";"Echio lycopsis-Galactitetum tomentosae";"8"
"24457";"28";"F66-02 Alyssetum corsici";"F66-02";"Alyssetum corsici";"8"
"24458";"28";"F66-03 Trifolio cherleri-Taeniatheretum capitis-medusae";"F66-03";"Trifolio cherleri-Taeniatheretum capitis-medusae";"8"
"24459";"28";"F66-04 Medicagini rigidulae-Aegilopetum geniculatae";"F66-04";"Medicagini rigidulae-Aegilopetum geniculatae";"8"
"24460";"28";"F66-05 Bromo tectorum-Stipetum capensis";"F66-05";"Bromo tectorum-Stipetum capensis";"8"
"24461";"28";"F66-06 Carduo tenuiflori-Onopordetum illyrici";"F66-06";"Carduo tenuiflori-Onopordetum illyrici";"8"
"24462";"28";"F66-07 Asphodelo fistulosi-Hordeetum leporini";"F66-07";"Asphodelo fistulosi-Hordeetum leporini";"8"
"24463";"28";"F66-08 Hordeetum leporini";"F66-08";"Hordeetum leporini";"8"
"24464";"28";"F66-09 Laguro ovati-Vulpietum membranaceae";"F66-09";"Laguro ovati-Vulpietum membranaceae";"8"
"24465";"28";"F66-10 Laguro ovati-Vulpietum fasciculatae";"F66-10";"Laguro ovati-Vulpietum fasciculatae";"8"
