"HAB";"TYPO";"CD_LB";"CD";"LB";"NIVEAU"
"79";"7";"A Habitats marins";"A";"Habitats marins";"1"
"579";"7";"A1 Roche et autres substrats durs intertidaux";"A1";"Roche et autres substrats durs intertidaux";"2"
"1591";"7";"A1.1 Roche intertidale sous fort hydrodynamisme";"A1.1";"Roche intertidale sous fort hydrodynamisme";"3"
"4664";"7";"A1.11 Biocénoses à moules et/ou à balanes";"A1.11";"Biocénoses à moules et/ou à balanes";"4"
"10326";"7";"A1.111 Mytilus edulis et balanes sur roche médiolittorale très exposée";"A1.111";"Mytilus edulis et balanes sur roche médiolittorale très exposée";"5"
"10327";"7";"A1.112 Chthamalus spp. sur roche exposée du médiolittoral supérieur";"A1.112";"Chthamalus spp. sur roche exposée du médiolittoral supérieur";"5"
"17356";"7";"A1.1121 Chthamalus montagui et Chthamalus stellatus sur roche exposée du médiolittoral supérieur";"A1.1121";"Chthamalus montagui et Chthamalus stellatus sur roche exposée du médiolittoral supérieur";"6"
"17357";"7";"A1.1122 Chthamalus spp. et Lichina pygmaea sur roche escarpée et exposée du médiolittoral supérieur";"A1.1122";"Chthamalus spp. et Lichina pygmaea sur roche escarpée et exposée du médiolittoral supérieur";"6"
"10328";"7";"A1.113 Semibalanus balanoides sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale";"A1.113";"Semibalanus balanoides sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale";"5"
"17358";"7";"A1.1131 Semibalanus balanoides, Patella vulgata et Littorina spp. sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale";"A1.1131";"Semibalanus balanoides, Patella vulgata et Littorina spp. sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale";"6"
"17359";"7";"A1.1132 Semibalanus balanoides, Fucus vesiculosus et algues rouges sur roche médiolittorale exposée à modérément exposée";"A1.1132";"Semibalanus balanoides, Fucus vesiculosus et algues rouges sur roche médiolittorale exposée à modérément exposée";"6"
"17360";"7";"A1.1133 Semibalanus balanoides et Littorina spp. sur blocs et galets médiolittoraux exposés à modérément exposés";"A1.1133";"Semibalanus balanoides et Littorina spp. sur blocs et galets médiolittoraux exposés à modérément exposés";"6"
"4665";"7";"A1.12 Biocénoses à fucales et/ou à algues rouges résistantes";"A1.12";"Biocénoses à fucales et/ou à algues rouges résistantes";"4"
"10324";"7";"A1.121 Fucus distichus et Fucus spiralis sur roche extrêmement exposée du médiolittoral supérieur";"A1.121";"Fucus distichus et Fucus spiralis sur roche extrêmement exposée du médiolittoral supérieur";"5"
"10325";"7";"A1.122 Corallina officinalis sur roche exposée à modérément exposée du médiolittoral inférieur";"A1.122";"Corallina officinalis sur roche exposée à modérément exposée du médiolittoral inférieur";"5"
"17354";"7";"A1.1221 Corallina officinalis et Mastocarpus stellatus sur roche exposée à modérément exposée du médiolittoral inférieur";"A1.1221";"Corallina officinalis et Mastocarpus stellatus sur roche exposée à modérément exposée du médiolittoral inférieur";"6"
"17355";"7";"A1.1222 Corallina officinalis, Himanthalia elongata et Patella ulyssiponensis sur roche très exposée du médiolittoral inférieur";"A1.1222";"Corallina officinalis, Himanthalia elongata et Patella ulyssiponensis sur roche très exposée du médiolittoral inférieur";"6"
"10336";"7";"A1.123 Himanthalia elongata et algues rouges sur roche exposée du médiolittoral inférieur";"A1.123";"Himanthalia elongata et algues rouges sur roche exposée du médiolittoral inférieur";"5"
"10337";"7";"A1.124 Palmaria palmata sur roche modérément à très exposée du médiolittoral inférieur";"A1.124";"Palmaria palmata sur roche modérément à très exposée du médiolittoral inférieur";"5"
"10338";"7";"A1.125 Mastocarpus stellatus et Chondrus crispus sur roche modérément à très exposée du médiolittoral inférieur";"A1.125";"Mastocarpus stellatus et Chondrus crispus sur roche modérément à très exposée du médiolittoral inférieur";"5"
"10339";"7";"A1.126 Osmundea pinnatifida sur roche modérément exposée du médiolittoral moyen";"A1.126";"Osmundea pinnatifida sur roche modérément exposée du médiolittoral moyen";"5"
"10340";"7";"A1.127 Ceramium sp. et pholades sur tourbe médiolittorale fossilisée";"A1.127";"Ceramium sp. et pholades sur tourbe médiolittorale fossilisée";"5"
"4667";"7";"A1.13 Biocénoses de la roche médiolittorale supérieure de Méditerranée et de la mer Noire";"A1.13";"Biocénoses de la roche médiolittorale supérieure de Méditerranée et de la mer Noire";"4"
"10341";"7";"A1.131 Association à Bangia atropurpurea";"A1.131";"Association à Bangia atropurpurea";"5"
"10342";"7";"A1.132 Association à Pyropia leucosticta (anciennement Porphyra leucosticta)";"A1.132";"Association à Pyropia leucosticta (anciennement Porphyra leucosticta)";"5"
"10343";"7";"A1.133 Association à Nemalion helminthoides et Rissoella verruculosa";"A1.133";"Association à Nemalion helminthoides et Rissoella verruculosa";"5"
"10344";"7";"A1.134 Association à Lithophyllum papillosum et Polysiphonia spp.";"A1.134";"Association à Lithophyllum papillosum et Polysiphonia spp.";"5"
"4668";"7";"A1.14 Biocénoses de la roche médiolittorale inférieure très exposée à l'action des vagues de Méditerranée et de la mer Noire";"A1.14";"Biocénoses de la roche médiolittorale inférieure très exposée à l'action des vagues de Méditerranée et de la mer Noire";"4"
"10345";"7";"A1.141 Association à Lithophyllum byssoides";"A1.141";"Association à Lithophyllum byssoides";"5"
"10349";"7";"A1.145 Faciès à Mytilus galloprovincialis en présence d'eaux modérément polluées";"A1.145";"Faciès à Mytilus galloprovincialis en présence d'eaux modérément polluées";"5"
"4669";"7";"A1.15 Fucales soumises aux courants de marée";"A1.15";"Fucales soumises aux courants de marée";"4"
"10350";"7";"A1.151 Ascophyllum nodosum, éponges et ascidies sur roche du médiolittoral moyen soumise aux courants de marée";"A1.151";"Ascophyllum nodosum, éponges et ascidies sur roche du médiolittoral moyen soumise aux courants de marée";"5"
"10351";"7";"A1.152 Fucus serratus, éponges et ascidies sur roche soumise aux courants de marée du médiolittoral inférieur";"A1.152";"Fucus serratus, éponges et ascidies sur roche soumise aux courants de marée du médiolittoral inférieur";"5"
"10329";"7";"A1.153 Fucus serratus avec éponges, ascidies et algues rouges sur substrat hétérogène du médiolittoral inférieur soumis aux courants de marée";"A1.153";"Fucus serratus avec éponges, ascidies et algues rouges sur substrat hétérogène du médiolittoral inférieur soumis aux courants de marée";"5"
"1592";"7";"A1.2 Roche intertidale sous hydrodynamisme modéré";"A1.2";"Roche intertidale sous hydrodynamisme modéré";"3"
"4672";"7";"A1.21 Balanes et fucales sur rivages modérément exposés";"A1.21";"Balanes et fucales sur rivages modérément exposés";"4"
"10358";"7";"A1.211 Pelvetia canaliculata et balanes sur roche modérément exposée de la frange littorale";"A1.211";"Pelvetia canaliculata et balanes sur roche modérément exposée de la frange littorale";"5"
"10359";"7";"A1.212 Fucus spiralis sur roche du médiolittoral supérieur exposée à modérément exposée en milieu marin";"A1.212";"Fucus spiralis sur roche du médiolittoral supérieur exposée à modérément exposée en milieu marin";"5"
"10360";"7";"A1.213 Mosaïque de Fucus vesiculosus et de balanes sur roche du médiolittoral moyen modérément exposée";"A1.213";"Mosaïque de Fucus vesiculosus et de balanes sur roche du médiolittoral moyen modérément exposée";"5"
"10361";"7";"A1.214 Fucus serratus sur roche du médiolittoral inférieur modérément exposée";"A1.214";"Fucus serratus sur roche du médiolittoral inférieur modérément exposée";"5"
"17361";"7";"A1.2141 Fucus serratus et algues rouges sur roche du médiolittoral inférieur modérément exposée";"A1.2141";"Fucus serratus et algues rouges sur roche du médiolittoral inférieur modérément exposée";"6"
"17362";"7";"A1.2142 Fucus serratus et faune sous blocs du médiolittoral inférieur exposés à modérément exposés";"A1.2142";"Fucus serratus et faune sous blocs du médiolittoral inférieur exposés à modérément exposés";"6"
"17363";"7";"A1.2143 Fucus serratus et pholades sur roche tendre du médiolittoral inférieur";"A1.2143";"Fucus serratus et pholades sur roche tendre du médiolittoral inférieur";"6"
"10362";"7";"A1.215 Rhodothamniella floridula sur roche du médiolittoral inférieur abrasée par le sable";"A1.215";"Rhodothamniella floridula sur roche du médiolittoral inférieur abrasée par le sable";"5"
"4670";"7";"A1.22 Moules et fucales sur rivages modérément exposés";"A1.22";"Moules et fucales sur rivages modérément exposés";"4"
"10352";"7";"A1.221 Mytilus edulis et Fucus vesiculosus sur roche du médiolittoral moyen modérément exposée";"A1.221";"Mytilus edulis et Fucus vesiculosus sur roche du médiolittoral moyen modérément exposée";"5"
"10353";"7";"A1.222 Mytilus edulis, Fucus serratus et algues rouges sur roche du médiolittoral inférieur modérément exposée";"A1.222";"Mytilus edulis, Fucus serratus et algues rouges sur roche du médiolittoral inférieur modérément exposée";"5"
"10354";"7";"A1.223 Mytilus edulis et pholades sur argile consolidée du médiolittoral";"A1.223";"Mytilus edulis et pholades sur argile consolidée du médiolittoral";"5"
"4671";"7";"A1.23 Biocénoses de la roche médiolittorale inférieure exposée à l'action des vagues de Méditerranée et de la mer Noire";"A1.23";"Biocénoses de la roche médiolittorale inférieure exposée à l'action des vagues de Méditerranée et de la mer Noire";"4"
"10355";"7";"A1.231 Association à Ceramium ciliatum et Corallina elongata";"A1.231";"Association à Ceramium ciliatum et Corallina elongata";"5"
"10356";"7";"A1.232 Concrétion de Neogoniolithon brassica-florida";"A1.232";"Concrétion de Neogoniolithon brassica-florida";"5"
"10357";"7";"A1.233 Association à Gelidium spp";"A1.233";"Association à Gelidium spp";"5"
"1593";"7";"A1.3 Roche intertidale sous faible hydrodynamisme";"A1.3";"Roche intertidale sous faible hydrodynamisme";"3"
"4674";"7";"A1.31 Fucales sur rivages marins abrités";"A1.31";"Fucales sur rivages marins abrités";"4"
"10367";"7";"A1.311 Pelvetia canaliculata sur roche abritée de la frange littorale";"A1.311";"Pelvetia canaliculata sur roche abritée de la frange littorale";"5"
"10368";"7";"A1.312 Fucus spiralis sur roche abritée du médiolittoral supérieur";"A1.312";"Fucus spiralis sur roche abritée du médiolittoral supérieur";"5"
"17365";"7";"A1.3121 Fucus spiralis sur roche abritée du médiolittoral supérieur en milieu marin";"A1.3121";"Fucus spiralis sur roche abritée du médiolittoral supérieur en milieu marin";"6"
"17366";"7";"A1.3122 Fucus spiralis sur substrat hétérogène du médiolittoral supérieur en milieu marin";"A1.3122";"Fucus spiralis sur substrat hétérogène du médiolittoral supérieur en milieu marin";"6"
"10369";"7";"A1.313 Fucus vesiculosus sur roche abritée à modérément exposée du médiolittoral moyen";"A1.313";"Fucus vesiculosus sur roche abritée à modérément exposée du médiolittoral moyen";"5"
"17367";"7";"A1.3131 Fucus vesiculosus sur roche abritée à modérément exposée du médiolittoral moyen en milieu marin";"A1.3131";"Fucus vesiculosus sur roche abritée à modérément exposée du médiolittoral moyen en milieu marin";"6"
"17368";"7";"A1.3132 Fucus vesiculosus sur substrat hétérogène du médiolittoral moyen";"A1.3132";"Fucus vesiculosus sur substrat hétérogène du médiolittoral moyen";"6"
"10370";"7";"A1.314 Ascophyllum nodosum sur roche très abritée du médiolittoral moyen";"A1.314";"Ascophyllum nodosum sur roche très abritée du médiolittoral moyen";"5"
"17364";"7";"A1.3141 Ascophyllum nodosum sur roche du médiolittoral moyen en milieu marin";"A1.3141";"Ascophyllum nodosum sur roche du médiolittoral moyen en milieu marin";"6"
"17369";"7";"A1.3142 Ascophyllum nodosum sur substrat hétérogène du médiolittoral moyen en milieu marin";"A1.3142";"Ascophyllum nodosum sur substrat hétérogène du médiolittoral moyen en milieu marin";"6"
"10372";"7";"A1.315 Fucus serratus sur roche abritée du médiolittoral inférieur";"A1.315";"Fucus serratus sur roche abritée du médiolittoral inférieur";"5"
"17370";"7";"A1.3151 Fucus serratus sur roche abritée du médiolittoral inférieur en milieu marin";"A1.3151";"Fucus serratus sur roche abritée du médiolittoral inférieur en milieu marin";"6"
"17371";"7";"A1.3152 Fucus serratus sur substrat hétérogène du médiolittoral inférieur en milieu marin";"A1.3152";"Fucus serratus sur substrat hétérogène du médiolittoral inférieur en milieu marin";"6"
"10373";"7";"A1.316 Association à Fucus virsoides";"A1.316";"Association à Fucus virsoides";"5"
"4677";"7";"A1.32 Fucales en milieu à salinité variable";"A1.32";"Fucales en milieu à salinité variable";"4"
"10374";"7";"A1.321 Pelvetia canaliculata sur roche abritée de la frange littorale en milieu à salinité variable";"A1.321";"Pelvetia canaliculata sur roche abritée de la frange littorale en milieu à salinité variable";"5"
"10375";"7";"A1.322 Fucus spiralis sur roche abritée du médiolittoral supérieur en milieu à salinité variable";"A1.322";"Fucus spiralis sur roche abritée du médiolittoral supérieur en milieu à salinité variable";"5"
"10376";"7";"A1.323 Fucus vesiculosus sur blocs et substrat hétérogène stable du médiolittoral moyen en milieu à salinité variable";"A1.323";"Fucus vesiculosus sur blocs et substrat hétérogène stable du médiolittoral moyen en milieu à salinité variable";"5"
"10377";"7";"A1.324 Ascophyllum nodosum et Fucus vesiculosus sur roche du médiolittoral moyen en milieu à salinité variable";"A1.324";"Ascophyllum nodosum et Fucus vesiculosus sur roche du médiolittoral moyen en milieu à salinité variable";"5"
"10378";"7";"A1.325 Champs de Ascophyllum nodosum ecad. mackaii sur substrat hétérogène extrêmement abrité du médiolittoral moyen";"A1.325";"Champs de Ascophyllum nodosum ecad. mackaii sur substrat hétérogène extrêmement abrité du médiolittoral moyen";"5"
"10379";"7";"A1.326 Fucus serratus et Mytilus edulis de grande taille sur roche du médiolittoral inférieur en milieu à salinité variable";"A1.326";"Fucus serratus et Mytilus edulis de grande taille sur roche du médiolittoral inférieur en milieu à salinité variable";"5"
"10380";"7";"A1.327 Fucus ceranoides sur roche médiolittorale en milieu à salinité réduite";"A1.327";"Fucus ceranoides sur roche médiolittorale en milieu à salinité réduite";"5"
"4678";"7";"A1.33 Tapis d'algues rouges du médiolittoral inférieur, abritées de l'action des vagues";"A1.33";"Tapis d'algues rouges du médiolittoral inférieur, abritées de l'action des vagues";"4"
"4675";"7";"A1.34 Biocénoses de la roche médiolittorale inférieure abritée de l'action des vagues de Méditerranée et de la mer Noire";"A1.34";"Biocénoses de la roche médiolittorale inférieure abritée de l'action des vagues de Méditerranée et de la mer Noire";"4"
"10371";"7";"A1.341 Association à Ulva compressa";"A1.341";"Association à Ulva compressa";"5"
"1594";"7";"A1.4 Habitats rocheux intertidaux particuliers";"A1.4";"Habitats rocheux intertidaux particuliers";"3"
"4676";"7";"A1.41 Biocénoses des cuvettes rocheuses intertidales";"A1.41";"Biocénoses des cuvettes rocheuses intertidales";"4"
"10381";"7";"A1.411 Cuvettes médiolittorales peu profondes dominées par des encroûtements de corallinales";"A1.411";"Cuvettes médiolittorales peu profondes dominées par des encroûtements de corallinales";"5"
"17372";"7";"A1.4111 Encroûtements de corallinales et Corallina officinalis des cuvettes médiolittorales peu profondes";"A1.4111";"Encroûtements de corallinales et Corallina officinalis des cuvettes médiolittorales peu profondes";"6"
"17373";"7";"A1.4112 Encroûtements de corallinales et Paracentrotus lividus des cuvettes médiolittorales peu profondes";"A1.4112";"Encroûtements de corallinales et Paracentrotus lividus des cuvettes médiolittorales peu profondes";"6"
"17374";"7";"A1.4113 Bifurcaria bifurcata des cuvettes médiolittorales peu profondes";"A1.4113";"Bifurcaria bifurcata des cuvettes médiolittorales peu profondes";"6"
"17375";"7";"A1.4114 Cystoseira spp. des cuvettes médiolittorales";"A1.4114";"Cystoseira spp. des cuvettes médiolittorales";"6"
"10382";"7";"A1.412 Fucales et laminaires des cuvettes médiolittorales profondes";"A1.412";"Fucales et laminaires des cuvettes médiolittorales profondes";"5"
"17376";"7";"A1.4121 Sargassum muticum des cuvettes médiolittorales";"A1.4121";"Sargassum muticum des cuvettes médiolittorales";"6"
"10383";"7";"A1.413 Algues des cuvettes médiolittorales à fond meuble";"A1.413";"Algues des cuvettes médiolittorales à fond meuble";"5"
"10384";"7";"A1.414 Hydraires, algues éphémères et Littorina littorea des cuvettes médiolittorales peu profondes à substrat hétérogène";"A1.414";"Hydraires, algues éphémères et Littorina littorea des cuvettes médiolittorales peu profondes à substrat hétérogène";"5"
"4680";"7";"A1.42 Biocénoses des cuvettes supralittorales";"A1.42";"Biocénoses des cuvettes supralittorales";"4"
"10386";"7";"A1.421 Algues vertes (Ulva (anciennement Enteromorpha) spp. et Cladophora spp.) des cuvettes peu profondes de la partie supérieure du rivage";"A1.421";"Algues vertes (Ulva (anciennement Enteromorpha) spp. et Cladophora spp.) des cuvettes peu profondes de la partie supérieure du rivage";"5"
"4679";"7";"A1.44 Biocénoses des grottes et surplombs intertidaux";"A1.44";"Biocénoses des grottes et surplombs intertidaux";"4"
"10401";"7";"A1.441 Chrysophycées et haptophycées sur roche tendre des falaises de la frange littorale supérieure";"A1.441";"Chrysophycées et haptophycées sur roche tendre des falaises de la frange littorale supérieure";"5"
"10402";"7";"A1.442 Pellicules d'algues vertes sur parois et plafond des grottes de l'intertidal moyen";"A1.442";"Pellicules d'algues vertes sur parois et plafond des grottes de l'intertidal moyen";"5"
"10403";"7";"A1.443 Encroûtements de Rhodochorton purpureum et de Pleurocladia lacustris sur parois et plafond des grottes de l'intertidal moyen";"A1.443";"Encroûtements de Rhodochorton purpureum et de Pleurocladia lacustris sur parois et plafond des grottes de l'intertidal moyen";"5"
"10404";"7";"A1.444 Rhodochorton purpureum et Cladophora rupestris sur parois des grottes de l'intertidal moyen";"A1.444";"Rhodochorton purpureum et Cladophora rupestris sur parois des grottes de l'intertidal moyen";"5"
"10405";"7";"A1.445 Wahlenbergiana mucosa (anciennement Verrucaria mucosa) et/ou Hildenbrandia rubra des parois des grottes de l'intertidal moyen";"A1.445";"Wahlenbergiana mucosa (anciennement Verrucaria mucosa) et/ou Hildenbrandia rubra des parois des grottes de l'intertidal moyen";"5"
"10406";"7";"A1.446 Éponges et algues rouges tolérantes à l'ombre sur surplombs rocheux du médiolittoral inférieur et en entrée des grottes";"A1.446";"Éponges et algues rouges tolérantes à l'ombre sur surplombs rocheux du médiolittoral inférieur et en entrée des grottes";"5"
"17377";"7";"A1.4461 Éponges, algues rouges tolérantes à l'ombre et Dendrodoa grossularia des surplombs rocheux et des grottes battues par les vagues du médiolittoral inférieur";"A1.4461";"Éponges, algues rouges tolérantes à l'ombre et Dendrodoa grossularia des surplombs rocheux et des grottes battues par les vagues du médiolittoral inférieur";"6"
"10407";"7";"A1.447 Éponges, bryozoaires et ascidies des importants surplombs rocheux ou des grottes de la partie inférieure du rivage";"A1.447";"Éponges, bryozoaires et ascidies des importants surplombs rocheux ou des grottes de la partie inférieure du rivage";"5"
"10408";"7";"A1.448 Faune encroûtante des parois des grottes intertidales battues par les vagues";"A1.448";"Faune encroûtante des parois des grottes intertidales battues par les vagues";"5"
"10409";"7";"A1.449 Faune clairsemée (balanes et spirorbes) sur roche abrasée par le sable ou par des cailloutis des grottes intertidales";"A1.449";"Faune clairsemée (balanes et spirorbes) sur roche abrasée par le sable ou par des cailloutis des grottes intertidales";"5"
"10410";"7";"A1.44A Parois et sols stériles et/ou érodés (par des blocs) des grottes intertidales";"A1.44A";"Parois et sols stériles et/ou érodés (par des blocs) des grottes intertidales";"5"
"10411";"7";"A1.44B Association à Phymatolithon lenormandii et Hildenbrandia rubra";"A1.44B";"Association à Phymatolithon lenormandii et Hildenbrandia rubra";"5"
"4688";"7";"A1.45 Algues vertes ou rouges éphémères (soumises à l'action de l'eau douce ou du sable) sur substrat fixe";"A1.45";"Algues vertes ou rouges éphémères (soumises à l'action de l'eau douce ou du sable) sur substrat fixe";"4"
"10413";"7";"A1.451 Ulva (anciennement Enteromorpha) spp. soumise à l'action de l'eau douce et/ou sur roche instable du médiolittoral supérieur";"A1.451";"Ulva (anciennement Enteromorpha) spp. soumise à l'action de l'eau douce et/ou sur roche instable du médiolittoral supérieur";"5"
"10391";"7";"A1.452 Porphyra purpurea ou Ulva (anciennement Enteromorpha) spp. sur roche abrasée par le sable du médiolittoral moyen ou inférieur";"A1.452";"Porphyra purpurea ou Ulva (anciennement Enteromorpha) spp. sur roche abrasée par le sable du médiolittoral moyen ou inférieur";"5"
"580";"7";"A2 Sédiment intertidal";"A2";"Sédiment intertidal";"2"
"1595";"7";"A2.1 Sédiments grossiers intertidaux";"A2.1";"Sédiments grossiers intertidaux";"3"
"4689";"7";"A2.11 Rivages de cailloutis mobiles et de graviers";"A2.11";"Rivages de cailloutis mobiles et de graviers";"4"
"10415";"7";"A2.111 Galets et cailloutis mobiles intertidaux nus";"A2.111";"Galets et cailloutis mobiles intertidaux nus";"5"
"10416";"7";"A2.112 Echinogammarus planicrurus dans du gravier ou du sable grossier bien trié du médiolittoral";"A2.112";"Echinogammarus planicrurus dans du gravier ou du sable grossier bien trié du médiolittoral";"5"
"4690";"7";"A2.12 Sédiment grossier estuarien";"A2.12";"Sédiment grossier estuarien";"4"
"4691";"7";"A2.13 Biocénoses méditerranéennes du détritique médiolittoral";"A2.13";"Biocénoses méditerranéennes du détritique médiolittoral";"4"
"10417";"7";"A2.131 Faciès des banquettes de feuilles mortes de Posidonia oceanica et autres phanérogames";"A2.131";"Faciès des banquettes de feuilles mortes de Posidonia oceanica et autres phanérogames";"5"
"1596";"7";"A2.2 Sable et sable vaseux intertidaux";"A2.2";"Sable et sable vaseux intertidaux";"3"
"4692";"7";"A2.21 Laisse de mer";"A2.21";"Laisse de mer";"4"
"10419";"7";"A2.211 Talitridés du haut de l'estran et laisse de mer";"A2.211";"Talitridés du haut de l'estran et laisse de mer";"5"
"10420";"7";"A2.212 Mytilus edulis et Fabricia sabella dans du sédiment hétérogène intertidal";"A2.212";"Mytilus edulis et Fabricia sabella dans du sédiment hétérogène intertidal";"5"
"4693";"7";"A2.22 Estrans de sable mobile, stérile ou dominé par des amphipodes";"A2.22";"Estrans de sable mobile, stérile ou dominé par des amphipodes";"4"
"10421";"7";"A2.221 Sable grossier stérile intertidal";"A2.221";"Sable grossier stérile intertidal";"5"
"10422";"7";"A2.222 Oligochètes dans du sable mobile intertidal";"A2.222";"Oligochètes dans du sable mobile intertidal";"5"
"17379";"7";"A2.2221 Oligochètes dans du sable mobile intertidal en milieu marin";"A2.2221";"Oligochètes dans du sable mobile intertidal en milieu marin";"6"
"17380";"7";"A2.2222 Oligochètes dans du sable mobile intertidal en milieu à salinité variable";"A2.2222";"Oligochètes dans du sable mobile intertidal en milieu à salinité variable";"6"
"10414";"7";"A2.223 Amphipodes et Scolelepis spp. dans du sable fin à moyen intertidal";"A2.223";"Amphipodes et Scolelepis spp. dans du sable fin à moyen intertidal";"5"
"17378";"7";"A2.2231 Scolelepis spp. dans du sable mobile intertidal";"A2.2231";"Scolelepis spp. dans du sable mobile intertidal";"6"
"17381";"7";"A2.2232 Eurydice pulchra dans du sable mobile intertidal";"A2.2232";"Eurydice pulchra dans du sable mobile intertidal";"6"
"17382";"7";"A2.2233 Pontocrates arenarius dans du sable mobile intertidal";"A2.2233";"Pontocrates arenarius dans du sable mobile intertidal";"6"
"4697";"7";"A2.23 Estrans de sable fin dominés par des amphipodes ou des polychètes";"A2.23";"Estrans de sable fin dominés par des amphipodes ou des polychètes";"4"
"10428";"7";"A2.231 Polychètes dans du sable fin intertidal";"A2.231";"Polychètes dans du sable fin intertidal";"5"
"17383";"7";"A2.2311 Polychètes, dont Paraonis fulgens, dans du sable fin intertidal";"A2.2311";"Polychètes, dont Paraonis fulgens, dans du sable fin intertidal";"6"
"17384";"7";"A2.2312 Polychètes et Tellina tenuis dans du sable fin intertidal";"A2.2312";"Polychètes et Tellina tenuis dans du sable fin intertidal";"6"
"17385";"7";"A2.2313 Sable fin intertidal dominé par Nephtys cirrosa";"A2.2313";"Sable fin intertidal dominé par Nephtys cirrosa";"6"
"4698";"7";"A2.24 Estrans de sable vaseux dominés par des polychètes ou des bivalves";"A2.24";"Estrans de sable vaseux dominés par des polychètes ou des bivalves";"4"
"10429";"7";"A2.241 Macoma balthica et Arenicola marina sur les rivages de sable vaseux";"A2.241";"Macoma balthica et Arenicola marina sur les rivages de sable vaseux";"5"
"10430";"7";"A2.242 Cerastoderma edule et polychètes dans du sable vaseux intertidal";"A2.242";"Cerastoderma edule et polychètes dans du sable vaseux intertidal";"5"
"10431";"7";"A2.243 Hediste diversicolor, Macoma balthica et Eteone longa dans du sable vaseux intertidal";"A2.243";"Hediste diversicolor, Macoma balthica et Eteone longa dans du sable vaseux intertidal";"5"
"10423";"7";"A2.244 Bathyporeia pilosa et Corophium arenarium dans du sable vaseux intertidal";"A2.244";"Bathyporeia pilosa et Corophium arenarium dans du sable vaseux intertidal";"5"
"10424";"7";"A2.245 Lanice conchilega dans du sable intertidal";"A2.245";"Lanice conchilega dans du sable intertidal";"5"
"4694";"7";"A2.25 Biocénoses méditerranéennes et pontiques des sables médiolittoraux";"A2.25";"Biocénoses méditerranéennes et pontiques des sables médiolittoraux";"4"
"10425";"7";"A2.251 Faciès à Ophelia bicornis";"A2.251";"Faciès à Ophelia bicornis";"5"
"1597";"7";"A2.3 Vase intertidale";"A2.3";"Vase intertidale";"3"
"4696";"7";"A2.31 Estrans vaseux de la partie moyenne des estuaires dominés par des polychètes ou des bivalves";"A2.31";"Estrans vaseux de la partie moyenne des estuaires dominés par des polychètes ou des bivalves";"4"
"10432";"7";"A2.311 Nephtys hombergii, Macoma balthica et Streblospio shrubsolii dans du sable vaseux intertidal";"A2.311";"Nephtys hombergii, Macoma balthica et Streblospio shrubsolii dans du sable vaseux intertidal";"5"
"10433";"7";"A2.312 Hediste diversicolor et Macoma balthica dans du sable vaseux intertidal";"A2.312";"Hediste diversicolor et Macoma balthica dans du sable vaseux intertidal";"5"
"10434";"7";"A2.313 Hediste diversicolor, Macoma balthica et Scrobicularia plana dans du sable vaseux intertidal";"A2.313";"Hediste diversicolor, Macoma balthica et Scrobicularia plana dans du sable vaseux intertidal";"5"
"4700";"7";"A2.32 Estrans vaseux en amont des estuaires dominés par des polychètes ou des oligochètes";"A2.32";"Estrans vaseux en amont des estuaires dominés par des polychètes ou des oligochètes";"4"
"10435";"7";"A2.321 Nephtys hombergii et Streblospio shrubsolii dans de la vase intertidale";"A2.321";"Nephtys hombergii et Streblospio shrubsolii dans de la vase intertidale";"5"
"10436";"7";"A2.322 Hediste diversicolor dans de la vase intertidale";"A2.322";"Hediste diversicolor dans de la vase intertidale";"5"
"17389";"7";"A2.3221 Hediste diversicolor et Streblospio shrubsolii dans de la vase sableuse intertidale";"A2.3221";"Hediste diversicolor et Streblospio shrubsolii dans de la vase sableuse intertidale";"6"
"17390";"7";"A2.3222 Hediste diversicolor et Corophium volutator dans de la vase intertidale";"A2.3222";"Hediste diversicolor et Corophium volutator dans de la vase intertidale";"6"
"17391";"7";"A2.3223 Hediste diversicolor et oligochètes dans de la vase intertidale";"A2.3223";"Hediste diversicolor et oligochètes dans de la vase intertidale";"6"
"10437";"7";"A2.323 Tubificoides benedii et autres oligochètes dans de la vase intertidale";"A2.323";"Tubificoides benedii et autres oligochètes dans de la vase intertidale";"5"
"10438";"7";"A2.324 Cuvettes des marais salés";"A2.324";"Cuvettes des marais salés";"5"
"10439";"7";"A2.325 Chenaux des marais salés";"A2.325";"Chenaux des marais salés";"5"
"17392";"7";"A2.3251 Faciès d'érosion à Carcinus maenas";"A2.3251";"Faciès d'érosion à Carcinus maenas";"6"
"4701";"7";"A2.33 Rivages marins vaseux";"A2.33";"Rivages marins vaseux";"4"
"1598";"7";"A2.4 Sédiments hétérogènes intertidaux";"A2.4";"Sédiments hétérogènes intertidaux";"3"
"4702";"7";"A2.41 Estrans de vase sablo-graveleuse dominés par Hediste diversicolor";"A2.41";"Estrans de vase sablo-graveleuse dominés par Hediste diversicolor";"4"
"10443";"7";"A2.411 Hediste diversicolor dans du sable vaso-graveleux et de la vase sablo-graveleuse intertidaux";"A2.411";"Hediste diversicolor dans du sable vaso-graveleux et de la vase sablo-graveleuse intertidaux";"5"
